Wavelength,Flux,BestFit,SkyFlux
4195.658,11.367,15.147,7.584
4196.624,13.336,15.017,7.331
4197.589,13.305,15.533,7.006
4198.557,12.713,15.303,6.773
4199.523,13.807,14.658,6.505
4200.491,13.617,14.946,6.260
4201.458,12.869,14.708,6.234
4202.426,12.221,14.160,6.250
4203.393,11.200,14.361,6.111
4204.360,13.133,15.236,6.213
4205.330,16.036,15.421,6.450
4206.297,15.141,16.131,6.557
4207.267,15.477,16.202,6.825
4208.235,16.713,16.892,7.216
4209.205,18.211,17.606,7.499
4210.174,21.030,17.448,7.445
4211.142,24.066,17.658,6.920
4212.113,25.298,19.060,6.307
4213.082,25.022,18.695,6.453
4214.054,22.123,16.716,6.849
4215.023,17.417,15.367,6.703
4215.995,14.610,15.105,6.820
4216.965,12.968,14.013,7.152
4217.935,13.280,15.069,7.179
4218.908,15.130,14.902,6.653
4219.878,13.847,14.709,6.085
4220.852,12.207,14.784,6.163
4221.822,13.727,14.383,6.772
4222.796,14.063,13.768,6.839
4223.768,12.661,13.878,6.208
4224.739,12.746,13.010,5.913
4225.713,12.060,11.901,6.385
4226.686,11.005,11.579,6.438
4227.660,11.750,11.733,5.623
4228.633,12.219,11.013,5.138
4229.608,12.909,10.287,5.501
4230.581,12.551,10.026,6.237
4231.554,10.860,10.164,6.650
4232.530,11.229,11.047,6.514
4233.503,12.865,12.483,6.489
4234.480,11.697,13.014,6.628
4235.454,14.055,11.997,6.893
4236.431,10.450,10.775,6.850
4237.405,11.337,10.753,6.673
4238.380,11.572,10.683,6.588
4239.357,12.032,10.157,6.618
4240.333,11.002,11.381,6.482
4241.311,12.125,11.899,6.080
4242.286,12.769,12.286,5.953
4243.264,12.500,12.841,6.230
4244.241,13.352,13.504,6.528
4245.217,11.622,13.790,6.983
4246.196,14.511,13.486,7.756
4247.173,14.285,14.684,8.759
4248.152,15.099,15.180,9.104
4249.129,14.368,15.039,8.485
4250.109,13.518,15.018,7.709
4251.087,15.615,15.164,7.210
4252.065,14.440,14.918,7.250
4253.045,12.921,15.258,7.507
4254.024,13.727,15.966,7.658
4255.005,14.134,16.424,7.642
4255.983,15.550,16.648,7.339
4256.965,15.355,16.979,7.069
4257.944,15.072,17.179,7.484
4258.926,16.486,16.092,7.795
4259.906,14.452,16.614,7.478
4260.886,15.828,16.949,6.737
4261.869,14.706,16.646,6.395
4262.849,12.808,16.375,6.697
4263.832,13.557,16.067,7.062
4264.813,14.365,16.538,7.134
4265.796,14.989,16.260,7.194
4266.778,15.727,15.508,7.679
4267.759,12.030,15.154,8.205
4268.743,13.117,15.337,8.105
4269.726,13.338,15.221,7.470
4270.710,15.742,14.910,7.126
4271.692,14.169,15.497,6.982
4272.677,13.859,15.647,6.822
4273.661,15.031,15.015,6.515
4274.644,14.005,14.153,6.354
4275.629,13.007,13.418,6.608
4276.613,12.506,13.263,7.028
4277.599,11.083,12.230,7.381
4278.583,11.377,11.331,7.629
